# Written by the BoltzWann module of the Wannier90 code.
# The first column.
# The second column is the DOS for a fixed smearing of   0.300000E-01 eV.
# Cell volume (ang^3):     40.3295    
# Energy(eV) DOS [DOS DOS ...]
   -9.397887843      0.7182853029    
   -9.387887843      0.7423337363    
   -9.377887843      0.7930134037    
   -9.367887843      0.8589125194    
   -9.357887843      0.9205427391    
   -9.347887843      0.9584417485    
   -9.337887843      0.9618400746    
   -9.327887843      0.9326853601    
   -9.317887843      0.8829012360    
   -9.307887843      0.8279617603    
   -9.297887843      0.7814397197    
   -9.287887843      0.7518399200    
   -9.277887843      0.7405945111    
   -9.267887843      0.7418840486    
   -9.257887843      0.7461143304    
   -9.247887843      0.7457695631    
   -9.237887843      0.7392986838    
   -9.227887843      0.7304134443    
   -9.217887843      0.7246903690    
   -9.207887843      0.7272852408    
   -9.197887843      0.7426309952    
   -9.187887843      0.7730092757    
   -9.177887843      0.8140424843    
   -9.167887843      0.8513111730    
   -9.157887843      0.8649560737    
   -9.147887843      0.8421898552    
   -9.137887843      0.7878398465    
   -9.127887843      0.7232033643    
   -9.117887843      0.6743632875    
   -9.107887843      0.6589802346    
   -9.097887843      0.6782456355    
   -9.087887843      0.7164381216    
   -9.077887843      0.7491699291    
   -9.067887843      0.7570815580    
   -9.057887843      0.7359780780    
   -9.047887843      0.6969004036    
   -9.037887843      0.6585658773    
   -9.027887843      0.6385723770    
   -9.017887843      0.6467075207    
   -9.007887843      0.6810573786    
   -8.997887843      0.7282022344    
   -8.987887843      0.7686277172    
   -8.977887843      0.7854691791    
   -8.967887843      0.7719791512    
   -8.957887843      0.7338429073    
   -8.947887843      0.6857216310    
   -8.937887843      0.6442658398    
   -8.927887843      0.6209788118    
   -8.917887843      0.6180197265    
   -8.907887843      0.6288386268    
   -8.897887843      0.6435616948    
   -8.887887843      0.6560543002    
   -8.877887843      0.6668986807    
   -8.867887843      0.6786658518    
   -8.857887843      0.6882979899    
   -8.847887843      0.6867718592    
   -8.837887843      0.6685584590    
   -8.827887843      0.6402949008    
   -8.817887843      0.6171902889    
   -8.807887843      0.6095418020    
   -8.797887843      0.6136197379    
   -8.787887843      0.6166996377    
   -8.777887843      0.6106313969    
   -8.767887843      0.5998656319    
   -8.757887843      0.5966319645    
   -8.747887843      0.6089286583    
   -8.737887843      0.6328072121    
   -8.727887843      0.6550966756    
   -8.717887843      0.6627255934    
   -8.707887843      0.6500729055    
   -8.697887843      0.6199268062    
   -8.687887843      0.5803123067    
   -8.677887843      0.5410767110    
   -8.667887843      0.5115218006    
   -8.657887843      0.4987970023    
   -8.647887843      0.5067907947    
   -8.637887843      0.5347040633    
   -8.627887843      0.5749177948    
   -8.617887843      0.6127757514    
   -8.607887843      0.6320232771    
   -8.597887843      0.6244609981    
   -8.587887843      0.5957835293    
   -8.577887843      0.5610497319    
   -8.567887843      0.5332632474    
   -8.557887843      0.5158156735    
   -8.547887843      0.5048024486    
   -8.537887843      0.4962920243    
   -8.527887843      0.4900047254    
   -8.517887843      0.4873647238    
   -8.507887843      0.4886719982    
   -8.497887843      0.4935392056    
   -8.487887843      0.5033019776    
   -8.477887843      0.5208512300    
   -8.467887843      0.5460558630    
   -8.457887843      0.5709963101    
   -8.447887843      0.5814947931    
   -8.437887843      0.5659794135    
   -8.427887843      0.5247430390    
   -8.417887843      0.4711350307    
   -8.407887843      0.4232864377    
   -8.397887843      0.3936682043    
   -8.387887843      0.3850765506    
   -8.377887843      0.3938412010    
   -8.367887843      0.4138775543    
   -8.357887843      0.4379997393    
   -8.347887843      0.4594994063    
   -8.337887843      0.4756987368    
   -8.327887843      0.4892729185    
   -8.317887843      0.5040214441    
   -8.307887843      0.5188187642    
   -8.297887843      0.5261678079    
   -8.287887843      0.5167527528    
   -8.277887843      0.4859462605    
   -8.267887843      0.4378672701    
   -8.257887843      0.3846566952    
   -8.247887843      0.3407205045    
   -8.237887843      0.3151371602    
   -8.227887843      0.3079218936    
   -8.217887843      0.3128900716    
   -8.207887843      0.3239197472    
   -8.197887843      0.3391188932    
   -8.187887843      0.3603154301    
   -8.177887843      0.3893930686    
   -8.167887843      0.4246102398    
   -8.157887843      0.4592326110    
   -8.147887843      0.4832394394    
   -8.137887843      0.4871671588    
   -8.127887843      0.4662101570    
   -8.117887843      0.4230095827    
   -8.107887843      0.3675788678    
   -8.097887843      0.3130533960    
   -8.087887843      0.2691980868    
   -8.077887843      0.2389977614    
   -8.067887843      0.2209557668    
   -8.057887843      0.2134086426    
   -8.047887843      0.2160843246    
   -8.037887843      0.2290050480    
   -8.027887843      0.2516590451    
   -8.017887843      0.2830112595    
   -8.007887843      0.3207043578    
   -7.997887843      0.3592453345    
   -7.987887843      0.3892697230    
   -7.977887843      0.3999211585    
   -7.967887843      0.3840153066    
   -7.957887843      0.3427764141    
   -7.947887843      0.2861850518    
   -7.937887843      0.2280646995    
   -7.927887843      0.1795300873    
   -7.917887843      0.1454722136    
   -7.907887843      0.1254337602    
   -7.897887843      0.1167005119    
   -7.887887843      0.1169598185    
   -7.877887843      0.1252626676    
   -7.867887843      0.1410473412    
   -7.857887843      0.1618519015    
   -7.847887843      0.1817203128    
   -7.837887843      0.1925786788    
   -7.827887843      0.1884678641    
   -7.817887843      0.1694308906    
   -7.807887843      0.1416849144    
   -7.797887843      0.1139043943    
   -7.787887843      0.9255094043E-01
   -7.777887843      0.7934496487E-01
   -7.767887843      0.7198764068E-01
   -7.757887843      0.6709214167E-01
   -7.747887843      0.6285215601E-01
   -7.737887843      0.5940620186E-01
   -7.727887843      0.5744362192E-01
   -7.717887843      0.5728522446E-01
   -7.707887843      0.5911897754E-01
   -7.697887843      0.6305091536E-01
   -7.687887843      0.6835088014E-01
   -7.677887843      0.7315225817E-01
   -7.667887843      0.7574268359E-01
   -7.657887843      0.7657270979E-01
   -7.647887843      0.7889505872E-01
   -7.637887843      0.8705652637E-01
   -7.627887843      0.1036083785    
   -7.617887843      0.1273774858    
   -7.607887843      0.1538265177    
   -7.597887843      0.1773769042    
   -7.587887843      0.1941145789    
   -7.577887843      0.2032518080    
   -7.567887843      0.2067834350    
   -7.557887843      0.2079701495    
   -7.547887843      0.2096344236    
   -7.537887843      0.2127962026    
   -7.527887843      0.2159301280    
   -7.517887843      0.2155442825    
   -7.507887843      0.2085193778    
   -7.497887843      0.1948164536    
   -7.487887843      0.1780417487    
   -7.477887843      0.1633915446    
   -7.467887843      0.1554479029    
   -7.457887843      0.1579263981    
   -7.447887843      0.1743078163    
   -7.437887843      0.2069116343    
   -7.427887843      0.2541635301    
   -7.417887843      0.3086271265    
   -7.407887843      0.3586589829    
   -7.397887843      0.3937532876    
   -7.387887843      0.4097303084    
   -7.377887843      0.4091345514    
   -7.367887843      0.3968470337    
   -7.357887843      0.3760311872    
   -7.347887843      0.3483196741    
   -7.337887843      0.3163789229    
   -7.327887843      0.2846040436    
   -7.317887843      0.2570973657    
   -7.307887843      0.2357581047    
   -7.297887843      0.2207793419    
   -7.287887843      0.2129721316    
   -7.277887843      0.2157695252    
   -7.267887843      0.2351913451    
   -7.257887843      0.2773784860    
   -7.247887843      0.3445781946    
   -7.237887843      0.4310764909    
   -7.227887843      0.5210674307    
   -7.217887843      0.5913528924    
   -7.207887843      0.6205352800    
   -7.197887843      0.6006719448    
   -7.187887843      0.5424443323    
   -7.177887843      0.4687796365    
   -7.167887843      0.4018721536    
   -7.157887843      0.3534041102    
   -7.147887843      0.3234853044    
   -7.137887843      0.3066709621    
   -7.127887843      0.2991733067    
   -7.117887843      0.3017157397    
   -7.107887843      0.3170919136    
   -7.097887843      0.3464454924    
   -7.087887843      0.3883986336    
   -7.077887843      0.4411351297    
   -7.067887843      0.5041296107    
   -7.057887843      0.5759910694    
   -7.047887843      0.6488752333    
   -7.037887843      0.7059054062    
   -7.027887843      0.7278552797    
   -7.017887843      0.7059123618    
   -7.007887843      0.6494153112    
   -6.997887843      0.5814773140    
   -6.987887843      0.5265468662    
   -6.977887843      0.4996766654    
   -6.967887843      0.5034100021    
   -6.957887843      0.5315462751    
   -6.947887843      0.5758744636    
   -6.937887843      0.6314073639    
   -6.927887843      0.6965218283    
   -6.917887843      0.7686534697    
   -6.907887843      0.8415324559    
   -6.897887843      0.9089502552    
   -6.887887843      0.9718687006    
   -6.877887843       1.040523127    
   -6.867887843       1.128128247    
   -6.857887843       1.241069670    
   -6.847887843       1.372708200    
   -6.837887843       1.504747880    
   -6.827887843       1.615768774    
   -6.817887843       1.691910556    
   -6.807887843       1.732221493    
   -6.797887843       1.744879001    
   -6.787887843       1.738273089    
   -6.777887843       1.715040029    
   -6.767887843       1.673252713    
   -6.757887843       1.611735324    
   -6.747887843       1.534132789    
   -6.737887843       1.449979042    
   -6.727887843       1.373355069    
   -6.717887843       1.318118958    
   -6.707887843       1.289864212    
   -6.697887843       1.280644035    
   -6.687887843       1.273392810    
   -6.677887843       1.253870947    
   -6.667887843       1.219296518    
   -6.657887843       1.176318004    
   -6.647887843       1.132770467    
   -6.637887843       1.092851411    
   -6.627887843       1.058171601    
   -6.617887843       1.029096084    
   -6.607887843       1.003182749    
   -6.597887843      0.9746880209    
   -6.587887843      0.9389461174    
   -6.577887843      0.8981618165    
   -6.567887843      0.8617233718    
   -6.557887843      0.8399301326    
   -6.547887843      0.8373327205    
   -6.537887843      0.8510459603    
   -6.527887843      0.8729590442    
